age,month,pop
30,1,163929
30,4,166688
30,7,179485
30,10,172980
31,1,171998
31,4,171704
31,7,186854
31,10,176347
32,1,174253
32,4,178739
32,7,189374
32,10,176545
33,1,170624
33,4,177395
33,7,193526
33,10,178194
34,1,175910
34,4,182526
34,7,191664
34,10,181822
35,1,186192
35,4,187539
35,7,197780
35,10,193626
36,1,190432
36,4,193830
36,7,205123
36,10,198286
37,1,197878
37,4,207483
37,7,212755
37,10,201855
38,1,200658
38,4,213223
38,7,222177
38,10,207719
39,1,220218
39,4,220169
39,7,228401
39,10,217368
40,1,229950
40,4,227167
40,7,235054
40,10,233398
41,1,241234
41,4,238761
41,7,256335
41,10,242710
42,1,248424
42,4,247724
42,7,255747
42,10,241246
43,1,244575
43,4,240666
43,7,256701
43,10,235090
44,1,237788
44,4,236494
44,7,249744
44,10,225145
45,1,235738
45,4,231223
45,7,236846
45,10,216188
46,1,234251
46,4,226034
46,7,225054
46,10,219244
47,1,224740
47,4,220935
47,7,227645
47,10,210613
48,1,256445
48,4,225105
48,7,227243
48,10,174833
49,1,164583
49,4,149265
49,7,161644
49,10,210268
50,1,225024
50,4,204238
50,7,221699
50,10,198493
51,1,213148
51,4,195041
51,7,201439
51,10,185431
52,1,214682
52,4,188910
52,7,189623
52,10,180841
53,1,209646
53,4,178504
53,7,184703
53,10,175869
54,1,202767
54,4,179213
54,7,180684
54,10,174387
55,1,208781
55,4,178972
55,7,178704
55,10,173420
56,1,213337
56,4,180305
56,7,175999
56,10,184535
57,1,209156
57,4,178027
57,7,178416
57,10,165733
58,1,200009
58,4,168455
58,7,168055
58,10,173523
59,1,211504
59,4,176275
59,7,177031
59,10,180633
60,1,224091
60,4,177587
60,7,184877
60,10,183780
61,1,227969
61,4,171755
61,7,187764
61,10,179737
62,1,236823
62,4,188106
62,7,193346
62,10,193015
63,1,253209
63,4,196259
63,7,202739
63,10,203115
64,1,265669
64,4,201296
64,7,207363
64,10,228175
65,1,273736
65,4,210938
65,7,230349
65,10,248037
