age,total,HI_less8,HI8,HI16,HI32,HI64,HI128,HI256,HI512,HI_more1024,gender,prevalence
1,208,51,16,19,23,28,21,33,13,4,all,75.48076923076923
2,145,18,10,10,17,30,30,26,2,2,all,87.58620689655173
3,112,11,4,15,25,27,19,9,2,0,all,90.17857142857143
4,81,8,3,11,17,20,13,7,2,0,all,90.12345679012346
5,107,6,7,18,23,26,16,10,1,0,all,94.39252336448598
6,102,6,4,8,20,31,23,8,2,0,all,94.11764705882354
7,80,6,2,12,13,30,12,5,0,0,all,92.5
8,52,0,2,15,15,11,7,2,0,0,all,100
9,79,2,4,16,19,17,15,5,1,0,all,97.46835443037975
10,99,5,3,20,37,23,10,1,0,0,all,94.94949494949495
11,68,2,6,12,25,13,4,4,1,1,all,97.05882352941177
12,101,3,7,23,36,20,8,4,0,0,all,97.02970297029702
13,114,9,3,24,32,27,14,4,1,0,all,92.10526315789474
14,45,0,1,9,18,13,3,1,0,0,all,100
15,120,14,8,27,38,22,8,3,0,0,all,88.33333333333333
16,100,4,10,20,35,18,8,4,1,0,all,96
17,47,1,5,7,17,12,4,0,1,0,all,97.87234042553192
18,129,0,3,19,40,45,14,6,1,1,all,100
19,123,4,4,13,33,28,23,10,5,3,all,96.7479674796748
20,103,3,2,16,34,29,16,2,1,0,all,97.0873786407767
21,94,3,8,16,22,27,13,3,1,1,all,96.80851063829788
22,90,1,1,14,33,24,13,4,0,0,all,98.88888888888889
23,127,7,3,23,40,29,19,5,1,0,all,94.48818897637796
24,118,6,8,20,33,28,16,5,2,0,all,94.91525423728814
25,104,4,3,17,28,25,16,7,4,0,all,96.15384615384616
26,106,0,4,11,31,33,12,13,1,1,all,100
27,97,7,5,17,21,26,13,7,1,0,all,92.78350515463917
28,126,9,7,20,31,34,16,5,4,0,all,92.85714285714286
29,100,10,7,18,23,15,11,10,5,1,all,90
30,102,11,3,10,19,25,20,12,0,2,all,89.2156862745098
31,105,6,6,12,14,23,24,12,7,1,all,94.28571428571429
32,104,11,1,2,26,23,23,11,6,1,all,89.42307692307692
33,117,3,1,10,16,29,29,23,5,1,all,97.43589743589743
34,104,7,1,4,15,28,26,17,6,0,all,93.26923076923077
35,91,4,3,3,19,25,16,12,4,5,all,95.6043956043956
36,106,3,6,7,21,19,27,16,5,2,all,97.16981132075472
37,102,14,1,6,17,24,22,14,4,0,all,86.27450980392157
38,111,17,7,5,18,17,21,17,8,1,all,84.68468468468468
39,87,6,0,5,16,16,17,15,10,2,all,93.10344827586206
40,73,6,2,5,7,20,20,9,0,4,all,91.78082191780823
41,79,8,3,5,7,19,17,11,6,3,all,89.87341772151899
42,65,1,0,6,11,13,18,9,5,2,all,98.46153846153847
43,81,13,2,4,14,15,18,13,1,1,all,83.95061728395062
44,70,8,0,10,8,18,13,6,6,1,all,88.57142857142857
45,55,6,0,3,7,13,17,5,4,0,all,89.0909090909091
46,62,10,1,6,15,8,13,2,5,2,all,83.87096774193549
47,75,13,0,6,10,16,14,10,5,1,all,82.66666666666667
48,72,9,1,6,12,14,16,7,6,1,all,87.5
49,62,2,1,8,13,10,10,10,6,2,all,96.7741935483871
50,74,5,1,4,16,14,14,16,4,0,all,93.24324324324324
51,44,7,0,4,3,15,9,3,1,2,all,84.0909090909091
52,75,11,1,3,11,20,12,5,10,2,all,85.33333333333333
53,70,9,0,5,10,14,10,16,4,2,all,87.14285714285714
54,67,9,3,6,4,10,18,13,2,2,all,86.56716417910448
55,57,5,1,2,4,13,13,10,5,4,all,91.2280701754386
56,54,3,2,3,10,10,9,10,4,3,all,94.44444444444444
57,58,8,2,1,6,16,7,11,4,3,all,86.20689655172414
58,46,6,1,3,8,9,11,4,3,1,all,86.95652173913044
59,40,4,1,3,5,7,9,7,4,0,all,90
60,41,5,1,1,5,10,9,3,3,4,all,87.8048780487805
61,46,5,1,2,5,7,13,8,2,3,all,89.1304347826087
62,44,6,1,1,10,9,8,6,2,1,all,86.36363636363636
63,30,1,0,3,6,4,7,5,3,1,all,96.66666666666667
64,20,1,1,1,4,3,3,4,1,2,all,95
65,24,1,1,3,4,7,5,0,2,1,all,95.83333333333333
66,20,0,3,2,3,5,4,3,0,0,all,100
67,10,0,0,2,3,3,1,1,0,0,all,100
68,12,0,1,3,0,5,0,2,1,0,all,100
69,18,2,0,5,6,0,2,2,0,1,all,88.88888888888889
70,26,2,0,1,4,5,5,5,2,2,all,92.3076923076923
1,108,25,7,11,13,17,13,12,7,3,male,76.85185185185185
2,76,8,6,5,8,15,17,14,2,1,male,89.47368421052632
3,60,5,2,10,17,13,8,4,1,0,male,91.66666666666667
4,52,8,3,6,11,10,9,5,0,0,male,84.61538461538461
5,58,3,3,11,11,15,7,7,1,0,male,94.82758620689656
6,55,4,4,6,12,15,9,5,0,0,male,92.72727272727273
