age,gender,total,HI_less8,HI8,HI16,HI32,HI64,HI128,HI256,HI512,HI_more1024
0-5M,all,17,8,6,2,1,0,0,0,0,0
6-11M,all,77,61,9,3,1,1,2,0,0,0
1,all,190,38,11,15,18,32,39,22,13,2
2,all,129,13,6,12,24,27,31,14,2,0
3,all,138,10,13,19,29,27,32,8,0,0
4,all,90,3,8,15,25,26,12,1,0,0
5,all,77,2,4,10,14,18,22,6,1,0
6,all,118,8,10,14,22,40,17,6,1,0
7,all,65,5,5,11,24,13,7,0,0,0
8,all,71,2,5,10,28,17,8,1,0,0
9,all,74,1,4,17,15,21,13,3,0,0
10,all,96,5,4,20,33,28,6,0,0,0
11,all,49,4,7,11,17,4,6,0,0,0
12,all,88,6,4,20,33,18,6,1,0,0
13,all,108,3,10,28,32,20,10,5,0,0
14,all,64,3,6,16,17,14,7,1,0,0
15,all,81,4,5,13,31,20,6,1,1,0
16,all,96,8,15,27,25,17,4,0,0,0
17,all,61,3,5,14,19,14,6,0,0,0
18,all,139,3,7,29,38,44,14,4,0,0
19,all,117,3,3,15,31,36,23,3,3,0
20,all,88,7,2,11,28,26,7,7,0,0
21,all,51,3,3,18,8,11,8,0,0,0
22,all,82,3,5,19,22,22,5,4,1,1
23,all,112,2,5,22,29,35,16,2,1,0
24,all,118,9,8,15,38,27,15,5,1,0
25,all,86,3,2,14,29,27,6,3,0,2
26,all,106,1,6,26,29,26,16,1,1,0
27,all,103,3,5,20,27,31,14,3,0,0
28,all,124,5,8,18,38,25,16,11,3,0
29,all,116,15,8,16,32,22,18,3,2,0
30,all,111,3,6,15,22,32,18,7,8,0
31,all,104,10,3,8,20,28,16,14,4,1
32,all,96,3,2,9,22,25,25,9,1,0
33,all,106,7,1,4,25,30,24,12,2,1
34,all,107,2,3,8,23,34,11,18,6,2
35,all,109,1,3,5,28,36,20,9,6,1
36,all,87,4,1,11,18,14,20,10,7,2
37,all,110,13,3,7,23,22,24,12,4,2
38,all,97,11,1,7,18,29,24,5,2,0
39,all,108,13,4,11,19,25,19,13,4,0
40,all,52,3,2,3,5,18,11,7,2,1
41,all,69,6,1,6,15,23,7,9,2,0
42,all,70,5,1,2,12,18,13,15,4,0
43,all,66,6,4,5,13,14,12,8,4,0
44,all,70,5,3,3,9,17,17,12,1,3
45,all,67,10,1,4,7,17,14,11,2,1
46,all,65,5,1,8,11,11,17,8,4,0
47,all,58,9,1,4,8,12,8,10,4,2
48,all,70,10,1,3,9,13,17,13,4,0
49,all,65,4,4,7,6,15,15,9,4,1
50,all,62,7,1,2,6,12,15,11,5,3
51,all,81,13,0,6,10,13,19,11,6,3
52,all,75,10,3,2,7,14,15,12,6,6
53,all,70,6,0,6,10,10,17,11,7,3
54,all,70,7,0,4,10,16,12,11,6,4
55,all,65,6,2,1,5,16,15,10,7,3
56,all,57,4,2,3,4,11,13,13,5,2
57,all,60,6,1,5,8,13,7,7,8,5
58,all,41,7,1,4,4,6,8,6,5,0
59,all,51,1,0,4,10,6,18,7,4,1
60,all,40,5,4,1,5,8,10,4,2,1
61,all,43,4,1,1,6,7,10,7,6,1
62,all,34,6,0,0,2,5,9,4,6,2
63,all,26,1,1,4,1,5,5,7,0,2
64,all,21,2,2,0,1,3,5,5,3,0
65,all,20,1,0,3,3,3,3,5,0,2
