age,gender,total,no,R,MR,MMR,R_MR,MR_MR,R_R,others,unknown
0-5M,all,35,14,0,0,0,0,0,0,0,21
6-11M,all,136,79,0,10,0,0,0,0,1,46
1,all,278,28,3,198,0,6,1,0,1,41
2,all,204,1,1,162,1,4,1,1,3,30
3,all,202,1,3,164,0,6,4,0,6,18
4,all,119,1,1,94,1,2,5,0,3,12
5,all,107,0,0,54,0,5,36,2,1,9
6,all,143,1,3,20,0,4,98,0,2,15
7,all,88,1,1,7,0,2,62,0,3,12
8,all,107,1,3,2,0,5,83,0,3,10
9,all,105,1,3,8,0,3,79,1,3,7
10,all,110,2,1,5,0,4,79,2,3,14
11,all,90,0,1,8,0,1,67,1,2,10
12,all,152,3,6,17,0,7,94,0,10,15
13,all,150,1,13,17,0,41,56,2,8,12
14,all,85,1,8,10,0,45,7,1,3,10
15,all,108,2,8,6,0,56,3,1,6,26
16,all,128,6,15,7,0,62,3,1,7,27
17,all,74,1,8,8,0,42,3,0,4,8
18,all,186,3,21,18,0,70,12,2,14,46
19,all,150,3,26,5,0,60,9,5,11,31
20-24,all,602,19,51,48,1,126,21,11,37,288
25-29,all,699,28,49,67,28,69,25,6,53,374
30-34,all,668,52,89,40,17,16,10,9,30,405
35-39,all,644,54,80,52,3,13,6,8,7,421
40-44,all,481,31,49,30,1,3,2,5,14,346
45-49,all,451,33,44,19,1,1,1,3,10,339
50-54,all,465,63,61,10,1,2,2,7,6,313
55-59,all,372,62,21,12,1,2,1,6,7,260
60-64,all,291,56,17,6,1,0,1,0,7,203
65-69,all,160,11,1,4,1,0,0,0,1,142
70-,all,122,13,0,1,0,1,0,0,0,107
0-5M,male,19,12,0,0,0,0,0,0,0,7
6-11M,male,67,36,0,8,0,0,0,0,0,23
1,male,144,14,1,103,0,1,0,0,1,24
2,male,118,1,1,95,0,1,1,0,2,17
3,male,86,0,1,69,0,2,2,0,3,9
4,male,70,0,1,53,1,2,2,0,3,8
5,male,53,0,0,31,0,1,15,2,0,4
6,male,70,0,1,11,0,3,44,0,1,10
7,male,46,1,0,2,0,2,34,0,1,6
8,male,55,1,1,2,0,2,46,0,0,3
9,male,52,1,2,2,0,1,40,1,2,3
10,male,60,2,1,2,0,2,43,2,1,7
11,male,45,0,0,4,0,1,35,0,1,4
12,male,98,1,5,13,0,4,59,0,7,9
13,male,60,0,7,5,0,18,21,2,3,4
14,male,43,1,6,5,0,23,2,0,3,3
15,male,57,2,5,2,0,27,2,1,3,15
16,male,83,5,10,3,0,41,0,0,4,20
17,male,29,1,4,6,0,12,2,0,2,2
18,male,73,1,4,8,0,21,5,1,4,29
19,male,67,2,10,3,0,21,7,1,4,19
20-24,male,280,14,23,14,0,45,5,3,12,164
25-29,male,349,17,15,30,9,22,11,2,11,232
30-34,male,360,32,29,16,8,4,4,5,11,251
35-39,male,322,25,27,14,1,1,1,2,3,248
40-44,male,236,13,12,13,1,1,1,1,5,189
45-49,male,210,14,4,13,0,0,0,0,5,174
50-54,male,237,31,9,5,0,1,1,1,2,187
55-59,male,209,23,4,9,0,0,1,1,4,167
60-64,male,166,25,5,3,0,0,0,0,2,131
65-69,male,95,5,0,4,0,0,0,0,0,86
70-,male,65,6,0,1,0,1,0,0,0,57
0-5M,female,16,2,0,0,0,0,0,0,0,14
6-11M,female,69,43,0,2,0,0,0,0,1,23
1,female,134,14,2,95,0,5,1,0,0,17
2,female,86,0,0,67,1,3,0,1,1,13
3,female,116,1,2,95,0,4,2,0,3,9
4,female,49,1,0,41,0,0,3,0,0,4
5,female,54,0,0,23,0,4,21,0,1,5
6,female,73,1,2,9,0,1,54,0,1,5
7,female,42,0,1,5,0,0,28,0,2,6
8,female,52,0,2,0,0,3,37,0,3,7
9,female,53,0,1,6,0,2,39,0,1,4
10,female,50,0,0,3,0,2,36,0,2,7
11,female,45,0,1,4,0,0,32,1,1,6
12,female,54,2,1,4,0,3,35,0,3,6
13,female,90,1,6,12,0,23,35,0,5,8
14,female,42,0,2,5,0,22,5,1,0,7
15,female,51,0,3,4,0,29,1,0,3,11
16,female,45,1,5,4,0,21,3,1,3,7
17,female,45,0,4,2,0,30,1,0,2,6
18,female,113,2,17,10,0,49,7,1,10,17
19,female,83,1,16,2,0,39,2,4,7,12
20-24,female,322,5,28,34,1,81,16,8,25,124
25-29,female,350,11,34,37,19,47,14,4,42,142
30-34,female,308,20,60,24,9,12,6,4,19,154
35-39,female,322,29,53,38,2,12,5,6,4,173
40-44,female,245,18,37,17,0,2,1,4,9,157
45-49,female,241,19,40,6,1,1,1,3,5,165
50-54,female,228,32,52,5,1,1,1,6,4,126
55-59,female,163,39,17,3,1,2,0,5,3,93
60-64,female,125,31,12,3,1,0,1,0,5,72
65-69,female,65,6,1,0,1,0,0,0,1,56
70-,female,57,7,0,0,0,0,0,0,0,50
