age,gender,total,HI_less8,HI8,HI16,HI32,HI64,HI128,HI256,HI512,HI_more1024,prevalence
1,all,190,38,11,15,18,32,39,22,13,2,80
2,all,129,13,6,12,24,27,31,14,2,0,89.92248062015504
3,all,138,10,13,19,29,27,32,8,0,0,92.7536231884058
4,all,90,3,8,15,25,26,12,1,0,0,96.66666666666667
5,all,77,2,4,10,14,18,22,6,1,0,97.40259740259741
6,all,118,8,10,14,22,40,17,6,1,0,93.22033898305085
7,all,65,5,5,11,24,13,7,0,0,0,92.3076923076923
8,all,71,2,5,10,28,17,8,1,0,0,97.1830985915493
9,all,74,1,4,17,15,21,13,3,0,0,98.64864864864865
10,all,96,5,4,20,33,28,6,0,0,0,94.79166666666667
11,all,49,4,7,11,17,4,6,0,0,0,91.83673469387755
12,all,88,6,4,20,33,18,6,1,0,0,93.18181818181819
13,all,108,3,10,28,32,20,10,5,0,0,97.22222222222223
14,all,64,3,6,16,17,14,7,1,0,0,95.3125
15,all,81,4,5,13,31,20,6,1,1,0,95.06172839506173
16,all,96,8,15,27,25,17,4,0,0,0,91.66666666666667
17,all,61,3,5,14,19,14,6,0,0,0,95.08196721311475
18,all,139,3,7,29,38,44,14,4,0,0,97.84172661870504
19,all,117,3,3,15,31,36,23,3,3,0,97.43589743589743
20,all,88,7,2,11,28,26,7,7,0,0,92.04545454545455
21,all,51,3,3,18,8,11,8,0,0,0,94.11764705882354
22,all,82,3,5,19,22,22,5,4,1,1,96.34146341463415
23,all,112,2,5,22,29,35,16,2,1,0,98.21428571428571
24,all,118,9,8,15,38,27,15,5,1,0,92.37288135593221
25,all,86,3,2,14,29,27,6,3,0,2,96.51162790697674
26,all,106,1,6,26,29,26,16,1,1,0,99.05660377358491
27,all,103,3,5,20,27,31,14,3,0,0,97.0873786407767
28,all,124,5,8,18,38,25,16,11,3,0,95.96774193548387
29,all,116,15,8,16,32,22,18,3,2,0,87.06896551724138
30,all,111,3,6,15,22,32,18,7,8,0,97.29729729729729
31,all,104,10,3,8,20,28,16,14,4,1,90.38461538461539
32,all,96,3,2,9,22,25,25,9,1,0,96.875
33,all,106,7,1,4,25,30,24,12,2,1,93.39622641509433
34,all,107,2,3,8,23,34,11,18,6,2,98.13084112149532
35,all,109,1,3,5,28,36,20,9,6,1,99.08256880733946
36,all,87,4,1,11,18,14,20,10,7,2,95.40229885057471
37,all,110,13,3,7,23,22,24,12,4,2,88.18181818181819
38,all,97,11,1,7,18,29,24,5,2,0,88.65979381443299
39,all,108,13,4,11,19,25,19,13,4,0,87.96296296296296
40,all,52,3,2,3,5,18,11,7,2,1,94.23076923076923
41,all,69,6,1,6,15,23,7,9,2,0,91.30434782608695
42,all,70,5,1,2,12,18,13,15,4,0,92.85714285714286
43,all,66,6,4,5,13,14,12,8,4,0,90.9090909090909
44,all,70,5,3,3,9,17,17,12,1,3,92.85714285714286
45,all,67,10,1,4,7,17,14,11,2,1,85.07462686567165
46,all,65,5,1,8,11,11,17,8,4,0,92.3076923076923
47,all,58,9,1,4,8,12,8,10,4,2,84.48275862068965
48,all,70,10,1,3,9,13,17,13,4,0,85.71428571428571
49,all,65,4,4,7,6,15,15,9,4,1,93.84615384615384
50,all,62,7,1,2,6,12,15,11,5,3,88.70967741935483
51,all,81,13,0,6,10,13,19,11,6,3,83.95061728395062
52,all,75,10,3,2,7,14,15,12,6,6,86.66666666666667
53,all,70,6,0,6,10,10,17,11,7,3,91.42857142857143
54,all,70,7,0,4,10,16,12,11,6,4,90
55,all,65,6,2,1,5,16,15,10,7,3,90.76923076923077
56,all,57,4,2,3,4,11,13,13,5,2,92.98245614035088
57,all,60,6,1,5,8,13,7,7,8,5,90
58,all,41,7,1,4,4,6,8,6,5,0,82.92682926829268
59,all,51,1,0,4,10,6,18,7,4,1,98.03921568627452
60,all,40,5,4,1,5,8,10,4,2,1,87.5
61,all,43,4,1,1,6,7,10,7,6,1,90.69767441860465
62,all,34,6,0,0,2,5,9,4,6,2,82.3529411764706
63,all,26,1,1,4,1,5,5,7,0,2,96.15384615384616
64,all,21,2,2,0,1,3,5,5,3,0,90.47619047619048
65,all,20,1,0,3,3,3,3,5,0,2,95
66,all,22,2,0,1,2,2,7,5,2,1,90.9090909090909
67,all,16,2,0,0,3,4,3,3,1,0,87.5
68,all,7,1,0,1,1,2,1,1,0,0,85.71428571428571
69,all,15,0,1,2,3,2,4,3,0,0,100
70,all,56,6,5,8,12,9,8,4,4,0,89.28571428571429
1,male,102,21,8,8,10,19,24,6,4,2,79.41176470588235
2,male,74,7,3,6,13,16,18,10,1,0,90.54054054054055
3,male,57,6,5,10,13,9,11,3,0,0,89.47368421052632
4,male,50,2,5,10,14,11,7,1,0,0,96
5,male,38,2,2,7,6,9,9,3,0,0,94.73684210526316
6,male,59,4,3,8,11,20,11,2,0,0,93.22033898305085
7,male,32,1,3,6,13,6,3,0,0,0,96.875
8,male,39,1,3,7,14,10,4,0,0,0,97.43589743589743
9,male,38,0,1,11,8,11,5,2,0,0,100
10,male,51,3,2,13,16,14,3,0,0,0,94.11764705882354
11,male,26,3,3,8,8,2,2,0,0,0,88.46153846153847
12,male,56,5,2,14,26,9,0,0,0,0,91.07142857142857
13,male,40,1,8,12,8,8,3,0,0,0,97.5
14,male,34,2,5,5,10,6,5,1,0,0,94.11764705882354
15,male,41,2,3,7,16,11,2,0,0,0,95.1219512195122
16,male,67,6,10,16,19,14,2,0,0,0,91.04477611940298
17,male,22,2,3,4,7,4,2,0,0,0,90.9090909090909
18,male,63,2,4,7,11,26,10,3,0,0,96.82539682539682
19,male,62,2,2,7,12,20,15,1,3,0,96.7741935483871
20,male,43,5,2,5,13,12,4,2,0,0,88.37209302325581
21,male,30,1,2,12,5,4,6,0,0,0,96.66666666666667
22,male,37,0,0,7,11,13,2,2,1,1,100
23,male,55,2,3,11,11,18,9,0,1,0,96.36363636363636
24,male,59,8,5,7,20,10,7,1,1,0,86.44067796610169
25,male,45,3,2,8,14,10,3,3,0,2,93.33333333333333
26,male,52,1,4,19,11,5,10,1,1,0,98.07692307692308
27,male,52,3,4,8,9,18,9,1,0,0,94.23076923076923
28,male,64,3,6,10,20,9,10,5,1,0,95.3125
29,male,61,7,6,8,17,11,8,2,2,0,88.52459016393442
30,male,62,3,6,7,13,15,9,5,4,0,95.16129032258064
31,male,57,6,2,6,6,14,8,11,3,1,89.47368421052632
32,male,62,3,1,5,13,15,19,5,1,0,95.16129032258064
33,male,59,4,0,1,14,16,15,6,2,1,93.22033898305085
34,male,52,1,1,5,14,15,3,9,4,0,98.07692307692308
35,male,57,1,2,3,14,19,9,4,5,0,98.24561403508773
36,male,42,2,1,6,9,8,8,5,2,1,95.23809523809524
37,male,55,10,2,4,9,11,11,6,1,1,81.81818181818181
38,male,53,11,0,3,8,16,10,4,1,0,79.24528301886792
39,male,55,12,3,3,6,12,11,6,2,0,78.18181818181819
40,male,18,3,1,1,2,5,2,3,0,1,83.33333333333333
41,male,36,6,1,2,9,9,4,3,2,0,83.33333333333333
42,male,38,5,1,0,5,11,8,6,2,0,86.84210526315789
43,male,34,5,2,2,4,10,4,4,3,0,85.29411764705883
44,male,35,4,2,2,2,9,10,4,1,1,88.57142857142857
45,male,40,8,0,3,4,10,7,6,1,1,80
46,male,28,4,0,2,3,6,7,5,1,0,85.71428571428571
47,male,30,9,1,2,4,6,3,3,2,0,70
48,male,32,9,0,1,3,6,5,6,2,0,71.875
49,male,21,2,2,2,4,3,4,3,1,0,90.47619047619048
50,male,35,6,1,1,4,7,6,5,3,2,82.85714285714286
51,male,36,13,0,0,2,5,9,5,1,1,63.888888888888886
52,male,46,10,1,0,4,9,5,10,3,4,78.26086956521739
53,male,32,6,0,3,2,5,9,2,3,2,81.25
54,male,35,7,0,2,2,9,6,5,2,2,80
55,male,34,6,1,0,4,8,4,5,4,2,82.3529411764706
56,male,35,2,0,1,3,9,8,8,3,1,94.28571428571429
57,male,34,5,1,2,5,6,5,4,3,3,85.29411764705883
58,male,25,5,1,1,2,2,5,4,5,0,80
59,male,23,1,0,0,5,4,8,2,2,1,95.65217391304348
60,male,25,3,3,0,4,4,8,3,0,0,88
61,male,23,3,1,1,3,5,4,2,3,1,86.95652173913044
62,male,20,5,0,0,1,1,5,2,5,1,75
63,male,15,1,0,2,0,3,4,3,0,2,93.33333333333333
64,male,14,2,1,0,0,2,3,4,2,0,85.71428571428571
65,male,11,0,0,0,1,2,3,5,0,0,100
66,male,16,1,0,1,2,2,5,2,2,1,93.75
67,male,12,1,0,0,2,3,3,3,0,0,91.66666666666667
68,male,4,0,0,1,0,2,1,0,0,0,100
69,male,9,0,1,1,1,2,2,2,0,0,100
70,male,28,0,3,5,6,7,5,1,1,0,100
1,female,88,17,3,7,8,13,15,16,9,0,80.68181818181819
2,female,55,6,3,6,11,11,13,4,1,0,89.0909090909091
3,female,81,4,8,9,16,18,21,5,0,0,95.06172839506173
4,female,40,1,3,5,11,15,5,0,0,0,97.5
5,female,39,0,2,3,8,9,13,3,1,0,100
6,female,59,4,7,6,11,20,6,4,1,0,93.22033898305085
7,female,33,4,2,5,11,7,4,0,0,0,87.87878787878788
8,female,32,1,2,3,14,7,4,1,0,0,96.875
9,female,36,1,3,6,7,10,8,1,0,0,97.22222222222223
10,female,45,2,2,7,17,14,3,0,0,0,95.55555555555556
11,female,23,1,4,3,9,2,4,0,0,0,95.65217391304348
12,female,32,1,2,6,7,9,6,1,0,0,96.875
13,female,68,2,2,16,24,12,7,5,0,0,97.05882352941177
14,female,30,1,1,11,7,8,2,0,0,0,96.66666666666667
15,female,40,2,2,6,15,9,4,1,1,0,95
16,female,29,2,5,11,6,3,2,0,0,0,93.10344827586206
17,female,39,1,2,10,12,10,4,0,0,0,97.43589743589743
18,female,76,1,3,22,27,18,4,1,0,0,98.6842105263158
19,female,55,1,1,8,19,16,8,2,0,0,98.18181818181819
20,female,45,2,0,6,15,14,3,5,0,0,95.55555555555556
21,female,21,2,1,6,3,7,2,0,0,0,90.47619047619048
22,female,45,3,5,12,11,9,3,2,0,0,93.33333333333333
23,female,57,0,2,11,18,17,7,2,0,0,100
24,female,59,1,3,8,18,17,8,4,0,0,98.30508474576271
25,female,41,0,0,6,15,17,3,0,0,0,100
26,female,54,0,2,7,18,21,6,0,0,0,100
27,female,51,0,1,12,18,13,5,2,0,0,100
28,female,60,2,2,8,18,16,6,6,2,0,96.66666666666667
29,female,55,8,2,8,15,11,10,1,0,0,85.45454545454545
30,female,49,0,0,8,9,17,9,2,4,0,100
31,female,47,4,1,2,14,14,8,3,1,0,91.48936170212765
32,female,34,0,1,4,9,10,6,4,0,0,100
33,female,47,3,1,3,11,14,9,6,0,0,93.61702127659575
34,female,55,1,2,3,9,19,8,9,2,2,98.18181818181819
35,female,52,0,1,2,14,17,11,5,1,1,100
36,female,45,2,0,5,9,6,12,5,5,1,95.55555555555556
37,female,55,3,1,3,14,11,13,6,3,1,94.54545454545455
38,female,44,0,1,4,10,13,14,1,1,0,100
39,female,53,1,1,8,13,13,8,7,2,0,98.11320754716981
40,female,34,0,1,2,3,13,9,4,2,0,100
41,female,33,0,0,4,6,14,3,6,0,0,100
