割付,№,県番号,地域分類,性別,年齢,年齢階層,性年代,q1,q2t,q3_1t,q3_2t,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15a,q15b_1,q15b_2,q15b_3,q15b_4,q15b_5,q15b_6,q15b_7,q15b_8,q15b_9,q15b_10,q15b_11,q16.1,q16.2,q16.3,q16.4,q16.5,q16.6,q16.7,q16.0,q16_6t,q17,q18_1,q18_2,q18_3,q18_4,q18_5,q18_6,q18_7,q18_8,q19,q20,q21,q22,q23t,q24t,q25,q25_10t,q26,q26_8t,q27,q27_10t,q28,q29,q30,q31.1,q31.2,q31.3,q31.4,q31.5,q31.6,q31.7,q31.8,q31.0,q31_7t,q32,q33,q33_7t,回答開始日時,回答日時
Facebook利用者,1,13,3,1,50,5,5,1,50,45,3,1,1,1,1,1,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,,1,4,4,4,4,4,4,4,4,13,1,1,1,5,12,2,,3,,2,,1,1,3,0,1,0,0,0,0,0,0,0,,2,3,,2020/3/17 12:14,2020/3/17 12:19
Facebook非利用者,8,29,6,1,45,4,4,1,45,49,5,2,,1,3,,1,3,1,1,,,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,5,1,5,4,5,5,3,2,29,3,7,1,2,6,4,,1,,3,,1,1,4,0,0,0,0,0,1,0,0,0,,6,3,,2020/3/17 18:16,2020/3/17 18:19
Facebook利用者,9,27,6,1,46,4,4,1,46,48,8,1,1,2,2,,3,,1,3,,,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,2,5,3,4,3,4,2,27,2,9,1,1,20,4,,4,,4,,3,6,1,0,0,0,0,0,0,0,1,0,,4,3,,2020/3/17 18:16,2020/3/17 18:21
Facebook非利用者,10,11,3,1,46,4,4,1,46,48,12,2,,1,3,,4,,1,3,,,1,2,2,2,2,2,1,1,1,1,1,1,0,0,1,0,0,0,0,0,,2,4,3,5,2,4,1,4,2,11,2,1,3,0,,2,,1,,1,,1,1,2,0,0,0,0,0,0,0,1,0,,4,6,,2020/3/17 18:16,2020/3/17 18:21
Facebook利用者,12,13,3,1,44,4,4,1,44,50,3,1,5,2,2,,3,,4,,3,,1,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,3,3,3,3,3,3,3,3,13,1,7,1,1,7,4,,2,,3,,1,1,6,1,0,0,0,1,0,0,0,0,,6,8,,2020/3/17 18:16,2020/3/17 18:20
Facebook利用者,13,40,9,1,51,5,5,1,51,43,7,1,6,1,3,,4,,1,3,,,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,5,4,5,3,3,4,4,3,40,1,7,2,2,22,5,,3,,3,,1,1,3,0,0,0,0,0,1,0,0,0,,6,6,,2020/3/17 18:16,2020/3/17 18:19
Facebook非利用者,14,10,3,1,50,5,5,1,50,45,3,2,,2,2,,3,,1,3,,,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,5,3,5,4,4,5,2,3,10,2,7,1,1,13,4,,1,,6,,1,1,3,0,0,0,0,0,1,0,0,0,,13,6,,2020/3/17 18:16,2020/3/17 18:20
Facebook非利用者,15,13,3,1,56,5,5,1,56,39,1,2,,3,3,,3,,5,,3,,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,,2,3,3,3,3,3,3,3,3,13,1,7,1,1,14,4,,2,,3,,1,1,3,0,0,0,0,1,0,0,0,0,,13,8,,2020/3/17 18:16,2020/3/17 18:19
Facebook利用者,16,13,3,1,42,4,4,1,42,52,8,1,6,1,1,2,,,2,,,,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,,4,5,4,4,4,4,3,4,3,13,1,7,1,1,12,4,,1,,6,,1,1,3,1,0,0,0,1,0,0,0,0,,5,2,,2020/3/17 18:16,2020/3/17 18:22
Facebook利用者,17,5,2,1,46,4,4,1,46,48,11,1,1,2,2,,3,,1,3,,,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,2,2,1,1,1,4,5,5,2,3,1,0,,3,,3,,4,,1,1,3,1,0,0,0,1,0,0,0,0,,5,3,,2020/3/17 18:16,2020/3/17 18:19
