№,県番号,地域分類,性別,年齢,年齢階層,性年代,結婚有無,職業分類,bq1,sq1,sq2_1t,sq2_2t,sq3_1,sq3_2t,sq4,q0,q1,q2,q3_1,q3_2,q4_1,q4_2,q5,q6,q6_3t,q7f1,q7f2,q8f1,q8f2,q9_1,q9_2,q9_3,q9_4,q10,q11,q12t,q13_1,q13_2,q13_3,q13_4,q13_5,q14,q14_14t,q15,Q1-Q4表示順,Q7Q8所要時間,回答開始日時,回答日時
1,11,3,1,50,5,5,1,1,1,1,47,2,11,狭山市,2,3,3,3,3,3,1,1,1,2,,1,2,,,4,4,3,3,3,4,0,2,2,2,2,2,1,,4,q1|q2|q3|q4,13,2022/3/25 16:35,2022/3/25 16:37
2,13,3,1,50,5,5,1,1,4,1,46,12,13,江東区,2,4,3,3,3,3,3,3,2,4,,,,4,4,1,5,3,3,5,4,2,1,2,2,2,2,1,,4,q3|q4|q1|q2,37,2022/3/25 16:35,2022/3/25 16:38
3,12,3,1,52,5,5,2,1,3,1,44,8,12,松戸市,2,3,1,2,1,1,2,2,2,4,,,,3,3,4,2,3,3,7,1,3,2,1,2,2,2,5,,7,q1|q2|q3|q4,9,2022/3/25 16:36,2022/3/25 16:38
4,28,6,1,55,5,5,1,1,2,1,41,8,28,尼崎市,2,4,3,3,1,1,1,1,1,3,コロナに気を付けていれば、風しんも予防できると思うから。,3,2,,,3,4,4,3,5,2,0,2,2,2,2,2,1,,3,q3|q4|q1|q2,24,2022/3/25 16:34,2022/3/25 16:38
5,42,9,1,51,5,5,1,2,2,1,45,10,42,雲仙市,3,3,3,2,3,3,2,2,1,4,,3,3,,,2,4,3,3,9,4,1,1,2,2,2,2,8,,4,q3|q4|q1|q2,13,2022/3/25 16:35,2022/3/25 16:38
6,22,5,1,51,5,5,2,1,2,1,45,11,22,御殿場市,2,3,3,3,3,3,3,3,2,4,,3,3,,,3,3,3,3,3,1,4,2,1,1,2,2,4,,4,q3|q4|q1|q2,6,2022/3/25 16:36,2022/3/25 16:39
7,27,6,1,46,4,4,1,1,3,1,51,1,27,大阪市,2,4,1,3,1,1,3,3,1,4,,,,3,3,3,2,2,2,7,4,1,1,2,2,2,2,6,,4,q1|q2|q3|q4,19,2022/3/25 16:35,2022/3/25 16:39
9,26,6,1,53,5,5,2,1,4,1,44,1,26,木津川市,3,3,3,3,3,3,3,3,2,4,,,,3,3,3,3,3,3,7,1,1,2,2,2,2,2,1,,4,q3|q4|q1|q2,16,2022/3/25 16:37,2022/3/25 16:39
10,2,2,1,55,5,5,1,2,3,1,41,10,2,八戸市,2,3,1,3,1,1,3,1,2,1,,,,2,2,4,4,3,3,7,2,0,2,2,2,2,2,7,,3,q1|q2|q3|q4,31,2022/3/25 16:35,2022/3/25 16:39
11,23,5,1,55,5,5,2,99,1,1,41,12,23,大口町,2,4,3,1,2,2,1,1,1,2,,4,3,,,3,3,3,3,7,1,2,2,2,2,2,2,12,,1,q1|q2|q3|q4,16,2022/3/25 16:37,2022/3/25 16:40
