vars,Description,Description_ja
age,(Wave1) Age as of April 2019 based on year of birth and month of birth.,(Wave1) 生まれ年と生まれつきに基づいて計算した2019年4月時点の年齢
coupon2019,(Wave1) Dummy variable taking one if 40 to 46 years old as of April 2019.,(Wave1) 2019年4月時点で40歳以上46歳以下（2019年度クーポン券配布対象）ならば1を取るダミー変数
married,(Wave1) Dummy variable taking one if a respondent is married.,(Wave1) 婚姻したら1を取るダミー変数
education,(Wave1) Years of education.,(Wave1) 教育年数
income,"(Wave1) Household income. For those who did not respond with household income, the overall average was substituted.",(Wave1)世帯所得。答えたくない場合は、全体平均で代替した
noinfo_income,(Wave1) Dummy variable taking one if a respondent did not answer household income.,(Wave1)世帯所得を答えたくないと回答したら1を取るダミー変数
exercise_w1,(Wave1) Dummy variable taking one if a respondent exercises or plays sports more than once a week.,(Wave1) 週に1度以上運動やスポーツをしていたら1を取るダミー変数
health_check,(Wave1) Dummy variable taking one if a respondent has had a medical examination at his/her city or place of employment in the past year from the time of the wave 1.,(Wave1) 調査時点から過去1年間で職場や自治体の健康診断を受けたら1を取るダミー変数
flushot,(Wave1) Dummy variable taking one if a respondent is vaccinated against influenza every year.,(Wave1) 毎年インフルエンザワクチンを接種しているならば1を取るダミー変数
generosity,"(Wave1) Five-point Likert scale for the question ""I am happy when I pick up trash in the park.""",(Wave1)「他の人のためになること（公園のゴミ拾いなど）をすると自分もうれしい」という文章に対する5段階評価（1：全く当てはまらない～5：ぴったり当てはまる）
df_future,"(Wave1) We get the preferred interest rate by asking a series of questions about whether it is better to get x JPY 90 days later or y JPY 97 days later. Using it, we calculate the future time discount factor.",(Wave1) 「90日後にx円もらう」と「97日後にy円もらう」という二項選択を一連で調査し、回答者の好む利子率を得た。その利子率を用いて、将来の時間割引因子を計算した。
p_bias,"(Wave1) We get the preferred interest rate by asking a series of questions about whether it is better to get x JPY today or y JPY seven days later. Using it, we calculate the present time discount factor. Then, we make a dummy variable taking one if the present time discount factor is smaller than the future time discount factor.",(Wave1)「今日、x円もらう」と「7日後にy円もらう」という二項選択を一連で調査し、回答者の好む利子率を得た。その利子率を用いて、現在の時間割引因子を計算した。現在の時間割引因子が将来のそれより小さいならば1を取るダミー変数。
wtp_gain,"(Wave1) Willingness-to-pay of a lottery to get 100,000 JPY with a 50% probability (unit: 10,000JPY).",(Wave1) 50%の確率で10万円がもらえるくじに対する支払意思額（単位：1万円）
wtp_loss,"(Wave1) Willingness-to-pay of an insurance for the risk of losing 100,000 JPY with a 50% probability (unit: 10,000JPY).",(Wave1) 50%の確率で10万円を失うリスクに対する保険の支払意思額（単位：1万円）
prob_social,(Wave1) What percentage of men in their 40s and 50s does a respondent think may be infected with rubella?,(Wave1) 40代・50代が風しんに感染する確率はどれくらいか？
overconf_noreason,(Wave1) Dummy variable taking one if a respondent thinks that s/he will not be infected with rubella for no particular reason.,(Wave1)回答者が理由なく風しんに感染しないと信じているならば1を取るダミー変数
handicap,"(Wave1) Dummy variable taking one if a respondent believes that if a woman in early pregnancy is infected with rubella, her child may be born with a disability.",(Wave1)妊娠初期の女性が風しんに感染したら、障害を持った子供が産まれる可能性があると回答者が信じているならば、1を取るダミー変数
severity,"(Wave1) Dummy variable taking one if a respondent believes that if an adult male is infected with rubella, it will become more severe.",(Wave1) 成人男性が風しんに感染すると、重症化する可能性があると回答者が信じているならば、1を取るダミー変数
