id,exp,antibody,vaccine,coupon,severity,handicap,exp_again,why_norisk,sdist_1,sdist_2,sdist_3,sdist_4,sdist_5,sdist_6,sdist_7,out_antibody,out_vaccine,out_exp,out_coupon,pref,marry,child,working,income,start_time,start_date,nudge,female,age,fb,fb_active,get_coupon,importance,confident,flu_prob,rub_prob,rub_prob_me,wtp_flu,wtp_rub,sdf_f,sdf_u,df_p,df_f,pb,wtp_gain,wtp_loss,int_antibody,sint_antibody,done_antibody,int_vaccine,sint_vaccine,done_vaccine,int_exp,sint_exp,done_exp,int_coupon,sint_coupon,done_coupon
2,2,2,1,3,0,1,0,,20,10,4,19,17,3,1,3,3,3,3,23,1,2,1,6,"2020/2/7 20:30","2020/2/7 20:36","G",0,56,0,0,0,4,0,30,20,30,2500,1500,.0007333,0,.889205,.889205,0,-1005,3000,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,3,2,0,1,0,,20,7,2,18,10,3,2,4,3,3,4,28,2,2,3,7,"2020/2/7 20:27","2020/2/7 20:37","G",0,58,1,1,0,4,0,30,80,30,3500,2500,.7,.0073333,.889205,.9721007,1,-52500,47500,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,3,3,0,0,0,,20,5,5,13,10,7,2,3,3,3,3,29,1,2,1,4,"2020/2/7 20:32","2020/2/7 20:37","G",0,57,0,0,0,4,0,20,20,20,3500,3500,1.333333,0,.5,.9990509,1,-6000,7500,0,0,0,0,0,0,0,0,0,0,0,0
5,3,3,3,3,0,0,0,,20,20,20,20,20,0,0,3,3,3,3,13,1,1,1,13,"2020/2/7 20:28","2020/2/7 20:38","G",0,56,0,0,0,3,0,10,10,20,500,500,.7,0,.9990509,.6347997,0,-30000,3000,0,0,0,0,0,0,0,0,0,0,0,0
6,1,3,2,3,0,0,1,1,15,15,12,16,15,14,12,3,2,1,1,36,2,0,10,2,"2020/2/7 20:27","2020/2/7 20:41","G",0,60,0,0,0,4,1,50,30,0,3500,-5000,1.333333,0,.9990509,.9990509,0,-1005,12500,0,0,0,1,0,0,1,1,0,1,1,0
8,1,2,1,3,0,1,0,1,19,10,10,18,14,10,5,2,2,2,2,44,1,0,8,4,"2020/2/7 20:30","2020/2/7 20:42","G",0,55,1,1,0,4,1,10,50,0,2500,1500,1.333333,0,.5,.889205,1,-3000,60000,1,0,0,1,0,0,1,0,0,1,0,0
10,3,3,3,3,0,1,0,,0,0,0,0,0,0,0,3,3,3,3,28,3,0,4,3,"2020/2/7 20:37","2020/2/7 20:42","G",0,55,0,0,0,3,0,0,50,50,500,500,.0007333,0,1.001001,1.001001,0,-1005,3000,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,3,3,1,1,0,5,19,1,1,18,17,3,1,3,3,3,3,24,1,2,1,5,"2020/2/7 20:34","2020/2/7 20:44","G",0,56,0,0,0,3,1,0,0,0,-4500,-2500,.2666667,0,.6347997,.9868259,1,-11500,12500,0,0,0,0,0,0,0,0,0,0,0,0
12,1,2,1,3,0,0,0,,20,18,10,18,18,18,14,2,2,6,2,7,1,1,2,5,"2020/2/7 20:33","2020/2/7 20:44","G",0,56,0,0,0,5,0,70,10,10,500,500,1.333333,0,.9542896,.9868259,1,-6000,25000,1,0,0,1,0,0,0,0,1,1,0,0
13,1,3,2,2,0,1,0,,0,0,0,0,0,0,0,4,1,4,4,13,1,2,4,12,"2020/2/7 20:37","2020/2/7 20:44","G",0,56,1,0,0,5,0,10,40,10,5000,-5000,1.333333,1.333333,.5,.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
