age,gender,total,no,R,MR,MMR,R_MR,MR_MR,R_R,others,unknown,time1,time2
1,all,278,28,3,198,0,6,1,0,1,41,201,7
2,all,204,1,1,162,1,4,1,1,3,30,164,6
3,all,202,1,3,164,0,6,4,0,6,18,167,10
4,all,119,1,1,94,1,2,5,0,3,12,96,7
5,all,107,0,0,54,0,5,36,2,1,9,54,43
6,all,143,1,3,20,0,4,98,0,2,15,23,102
7,all,88,1,1,7,0,2,62,0,3,12,8,64
8,all,107,1,3,2,0,5,83,0,3,10,5,88
9,all,105,1,3,8,0,3,79,1,3,7,11,83
10,all,110,2,1,5,0,4,79,2,3,14,6,85
11,all,90,0,1,8,0,1,67,1,2,10,9,69
12,all,152,3,6,17,0,7,94,0,10,15,23,101
13,all,150,1,13,17,0,41,56,2,8,12,30,99
14,all,85,1,8,10,0,45,7,1,3,10,18,53
15,all,108,2,8,6,0,56,3,1,6,26,14,60
16,all,128,6,15,7,0,62,3,1,7,27,22,66
17,all,74,1,8,8,0,42,3,0,4,8,16,45
18,all,186,3,21,18,0,70,12,2,14,46,39,84
19,all,150,3,26,5,0,60,9,5,11,31,31,74
20-24,all,602,19,51,48,1,126,21,11,37,288,100,158
25-29,all,699,28,49,67,28,69,25,6,53,374,144,100
30-34,all,668,52,89,40,17,16,10,9,30,405,146,35
35-39,all,644,54,80,52,3,13,6,8,7,421,135,27
40-44,all,481,31,49,30,1,3,2,5,14,346,80,10
45-49,all,451,33,44,19,1,1,1,3,10,339,64,5
50-54,all,465,63,61,10,1,2,2,7,6,313,72,11
55-59,all,372,62,21,12,1,2,1,6,7,260,34,9
60-64,all,291,56,17,6,1,0,1,0,7,203,24,1
65-69,all,160,11,1,4,1,0,0,0,1,142,6,0
70-,all,122,13,0,1,0,1,0,0,0,107,1,1
1,male,144,14,1,103,0,1,0,0,1,24,104,1
2,male,118,1,1,95,0,1,1,0,2,17,96,2
3,male,86,0,1,69,0,2,2,0,3,9,70,4
4,male,70,0,1,53,1,2,2,0,3,8,55,4
5,male,53,0,0,31,0,1,15,2,0,4,31,18
6,male,70,0,1,11,0,3,44,0,1,10,12,47
7,male,46,1,0,2,0,2,34,0,1,6,2,36
8,male,55,1,1,2,0,2,46,0,0,3,3,48
9,male,52,1,2,2,0,1,40,1,2,3,4,42
10,male,60,2,1,2,0,2,43,2,1,7,3,47
11,male,45,0,0,4,0,1,35,0,1,4,4,36
12,male,98,1,5,13,0,4,59,0,7,9,18,63
13,male,60,0,7,5,0,18,21,2,3,4,12,41
14,male,43,1,6,5,0,23,2,0,3,3,11,25
15,male,57,2,5,2,0,27,2,1,3,15,7,30
16,male,83,5,10,3,0,41,0,0,4,20,13,41
17,male,29,1,4,6,0,12,2,0,2,2,10,14
18,male,73,1,4,8,0,21,5,1,4,29,12,27
19,male,67,2,10,3,0,21,7,1,4,19,13,29
20-24,male,280,14,23,14,0,45,5,3,12,164,37,53
25-29,male,349,17,15,30,9,22,11,2,11,232,54,35
30-34,male,360,32,29,16,8,4,4,5,11,251,53,13
35-39,male,322,25,27,14,1,1,1,2,3,248,42,4
40-44,male,236,13,12,13,1,1,1,1,5,189,26,3
45-49,male,210,14,4,13,0,0,0,0,5,174,17,0
50-54,male,237,31,9,5,0,1,1,1,2,187,14,3
55-59,male,209,23,4,9,0,0,1,1,4,167,13,2
60-64,male,166,25,5,3,0,0,0,0,2,131,8,0
65-69,male,95,5,0,4,0,0,0,0,0,86,4,0
70-,male,65,6,0,1,0,1,0,0,0,57,1,1
1,female,134,14,2,95,0,5,1,0,0,17,97,6
2,female,86,0,0,67,1,3,0,1,1,13,68,4
3,female,116,1,2,95,0,4,2,0,3,9,97,6
4,female,49,1,0,41,0,0,3,0,0,4,41,3
5,female,54,0,0,23,0,4,21,0,1,5,23,25
6,female,73,1,2,9,0,1,54,0,1,5,11,55
7,female,42,0,1,5,0,0,28,0,2,6,6,28
8,female,52,0,2,0,0,3,37,0,3,7,2,40
9,female,53,0,1,6,0,2,39,0,1,4,7,41
10,female,50,0,0,3,0,2,36,0,2,7,3,38
11,female,45,0,1,4,0,0,32,1,1,6,5,33
12,female,54,2,1,4,0,3,35,0,3,6,5,38
13,female,90,1,6,12,0,23,35,0,5,8,18,58
14,female,42,0,2,5,0,22,5,1,0,7,7,28
15,female,51,0,3,4,0,29,1,0,3,11,7,30
16,female,45,1,5,4,0,21,3,1,3,7,9,25
17,female,45,0,4,2,0,30,1,0,2,6,6,31
18,female,113,2,17,10,0,49,7,1,10,17,27,57
19,female,83,1,16,2,0,39,2,4,7,12,18,45
20-24,female,322,5,28,34,1,81,16,8,25,124,63,105
25-29,female,350,11,34,37,19,47,14,4,42,142,90,65
30-34,female,308,20,60,24,9,12,6,4,19,154,93,22
35-39,female,322,29,53,38,2,12,5,6,4,173,93,23
40-44,female,245,18,37,17,0,2,1,4,9,157,54,7
45-49,female,241,19,40,6,1,1,1,3,5,165,47,5
50-54,female,228,32,52,5,1,1,1,6,4,126,58,8
55-59,female,163,39,17,3,1,2,0,5,3,93,21,7
60-64,female,125,31,12,3,1,0,1,0,5,72,16,1
65-69,female,65,6,1,0,1,0,0,0,1,56,2,0
70-,female,57,7,0,0,0,0,0,0,0,50,0,0
0,all,171,93,0,10,0,0,0,0,1,67,10,0
0,female,85,45,0,2,0,0,0,0,1,37,2,0
0,male,86,48,0,8,0,0,0,0,0,30,8,0
