date,nudge,imp,cl,cost,cv
2020/2/15,FB：介入群 [ 3 ],31904,251,44982.5,20
2020/2/15,FB：介入群 [ 2 ],33989,282,44982.5,20
2020/2/15,FB：介入群 [ 1 ],32239,227,44982.5,12
2020/2/15,FB：統制群,32029,411,44982.5,28
2020/2/16,FB：介入群 [ 3 ],32820,328,45945,1
2020/2/16,FB：介入群 [ 2 ],37236,357,45943.75,
2020/2/16,FB：介入群 [ 1 ],24789,168,28210,
2020/2/16,FB：統制群,37750,513,45866.25,1
2020/2/17,FB：介入群 [ 3 ],12824,103,17750,6
2020/2/17,FB：介入群 [ 2 ],14166,133,17642.5,5
2020/2/17,FB：統制群,14240,187,17348.75,5
2020/2/18,FB：介入群 [ 1 ],9378,52,9335,4
2020/2/18,FB：統制群,8605,96,9392.5,8
2020/2/19,FB：介入群 [ 2 ],42045,238,50112.5,34
2020/2/19,FB：介入群 [ 1 ],42394,188,47795,14
2020/2/19,FB：統制群,40813,371,48881.25,50
2020/2/20,FB：介入群 [ 3 ],48048,355,67751.25,49
2020/2/20,FB：介入群 [ 2 ],42148,277,55582.5,29
2020/2/20,FB：介入群 [ 1 ],40826,196,49347.5,14
2020/2/20,FB：統制群,36170,368,50832.5,45
2020/2/21,FB：介入群 [ 3 ],48829,334,73863.75,48
2020/2/21,FB：介入群 [ 2 ],35758,201,47936.25,13
2020/2/21,FB：介入群 [ 1 ],41275,175,50412.5,15
2020/2/21,FB：統制群,36409,305,50347.5,34
2020/2/22,FB：介入群 [ 3 ],37116,275,65067.5,45
2020/2/22,FB：介入群 [ 2 ],31675,198,45555,17
2020/2/22,FB：介入群 [ 1 ],38476,180,51930,20
2020/2/22,FB：統制群,32891,321,49363.75,40
2020/2/23,FB：介入群 [ 3 ],39411,239,60516.25,24
2020/2/23,FB：介入群 [ 2 ],36190,194,48425,15
2020/2/23,FB：介入群 [ 1 ],36885,161,48768.75,13
2020/2/23,FB：統制群,35936,294,49213.75,36
2020/2/24,FB：介入群 [ 3 ],35924,199,52608.75,22
2020/2/24,FB：介入群 [ 2 ],39040,207,53463.75,20
2020/2/24,FB：介入群 [ 1 ],39846,169,50291.25,18
2020/2/24,FB：統制群,37016,316,50593.75,29
2020/2/25,FB：介入群 [ 1 ],36164,153,51187.5,10
2020/2/25,FB：統制群,36333,309,51050,29
2020/2/25,FB：介入群 [ 2 ],36495,171,50657.5,19
2020/2/25,FB：介入群 [ 3 ],35030,229,50252.5,35
2020/2/26,FB：介入群 [ 1 ],32819,127,51251.25,9
2020/2/26,FB：統制群,36976,294,51038.75,28
2020/2/26,FB：介入群 [ 2 ],37628,206,50338.75,20
2020/2/26,FB：介入群 [ 3 ],34003,182,50111.25,17
2020/2/27,FB：介入群 [ 1 ],35884,152,50633.75,16
2020/2/27,FB：統制群,38128,319,50503.75,33
2020/2/27,FB：介入群 [ 2 ],38298,193,49576.25,13
2020/2/27,FB：介入群 [ 3 ],35472,210,49263.75,17
2020/2/28,FB：統制群,39348,251,49198.75,24
2020/2/28,FB：介入群 [ 1 ],38936,138,48760,13
2020/2/28,FB：介入群 [ 3 ],36991,170,48535,15
2020/2/28,FB：介入群 [ 2 ],40187,163,47351.25,11
2020/2/29,FB：介入群 [ 2 ],43503,192,49581.25,14
2020/2/29,FB：介入群 [ 1 ],41027,154,49106.25,9
2020/2/29,FB：統制群,40405,284,48393.75,20
2020/2/29,FB：介入群 [ 3 ],38606,197,48028.75,16
2020/3/1,FB：介入群 [ 1 ],47264,170,50425,11
2020/3/1,FB：介入群 [ 2 ],50505,205,50397.5,20
2020/3/1,FB：統制群,48747,353,50388.75,32
2020/3/1,FB：介入群 [ 3 ],47033,244,50345,23
2020/3/2,FB：介入群 [ 3 ],56259,259,63312.5,25
2020/3/2,FB：介入群 [ 2 ],62955,264,66493.75,14
2020/3/2,FB：介入群 [ 1 ],58201,184,64343.75,14
2020/3/2,FB：統制群,61550,428,65903.75,38
2020/3/3,FB：介入群 [ 3 ],81080,306,93115,23
2020/3/3,FB：介入群 [ 2 ],85886,308,90973.75,20
2020/3/3,FB：介入群 [ 1 ],84143,238,92771.25,12
2020/3/3,FB：統制群,85320,513,93171.25,46
2020/3/4,FB：介入群 [ 3 ],76697,324,87585,35
2020/3/4,FB：介入群 [ 2 ],82875,283,89620,11
2020/3/4,FB：介入群 [ 1 ],81417,250,91930,11
2020/3/4,FB：統制群,80354,516,91182.5,51
2020/3/5,FB：介入群 [ 3 ],76681,263,93342.5,21
2020/3/5,FB：介入群 [ 2 ],76433,261,89858.75,18
2020/3/5,FB：介入群 [ 1 ],76530,211,92932.5,6
2020/3/5,FB：統制群,76300,415,92560,30
2020/3/6,FB：介入群 [ 3 ],69742,287,91747.5,33
2020/3/6,FB：介入群 [ 2 ],72061,245,91136.25,17
2020/3/6,FB：介入群 [ 1 ],71342,209,92373.75,16
2020/3/6,FB：統制群,70227,378,91446.25,37
2020/3/7,FB：介入群 [ 3 ],74408,299,97543.75,24
2020/3/7,FB：介入群 [ 2 ],80600,269,101786.25,23
2020/3/7,FB：介入群 [ 1 ],75113,208,93431.25,9
2020/3/7,FB：統制群,70414,364,95000,40
2020/3/8,FB：介入群 [ 3 ],747,2,522,1
2020/3/8,FB：介入群 [ 2 ],599,2,548,0
2020/3/8,FB：介入群 [ 1 ],722,2,546,0
2020/3/8,FB：統制群,193,1,530,0
2020/3/9,FB：介入群 [ 3 ],995,3,671,0
2020/3/9,FB：介入群 [ 2 ],899,3,650,0
2020/3/9,FB：介入群 [ 1 ],722,2,646,0
2020/3/9,FB：統制群,580,3,633,0
2020/3/10,FB：介入群 [ 3 ],45122,205,61505.875,23
2020/3/10,FB：介入群 [ 2 ],49078,179,61708.375,14
2020/3/10,FB：介入群 [ 1 ],50483,158,61762.125,12
2020/3/10,FB：統制群,46899,236,61708.375,28
2020/3/11,FB：介入群 [ 3 ],48160,226,62738.75,18
2020/3/11,FB：介入群 [ 2 ],55021,198,62538.05,18
2020/3/11,FB：介入群 [ 1 ],57720,146,62591.25,8
2020/3/11,FB：統制群,49332,295,62711.25,27
2020/3/12,FB：介入群 [ 3 ],47341,188,62630,17
2020/3/12,FB：介入群 [ 2 ],53168,182,62536.25,16
2020/3/12,FB：介入群 [ 1 ],52723,146,61462.1,6
2020/3/12,FB：統制群,49161,270,62325,24
2020/3/13,FB：介入群 [ 3 ],46915,213,66670.4375,15
2020/3/13,FB：介入群 [ 2 ],52545,209,67506.6875,12
2020/3/13,FB：介入群 [ 1 ],54271,172,69855.4375,5
2020/3/13,FB：統制群,50784,264,68420.4375,19
2020/3/14,FB：介入群 [ 3 ],44206,225,61641.6875,21
2020/3/14,FB：介入群 [ 2 ],49842,168,61614.1875,13
2020/3/14,FB：介入群 [ 1 ],49914,158,61715.4375,12
2020/3/14,FB：統制群,45988,265,61795.4375,24
2020/3/15,FB：介入群 [ 1 ],27500,86,34265,3
