date_time,date,A1,A2,nudge
2020年2月15日 14時08分51秒,2020年2月15日,絶対に受ける,調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 15時49分33秒,2020年2月15日,すでに受けた,すでに調べた,介入群②（６月・１０月・２月生まれ）
2020年2月15日 16時24分36秒,2020年2月15日,絶対に受ける,絶対に調べない,介入群②（６月・１０月・２月生まれ）
2020年2月15日 17時37分36秒,2020年2月15日,受ける,調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 17時41分07秒,2020年2月15日,絶対に受ける,調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 17時49分56秒,2020年2月15日,絶対に受ける,絶対に調べる,介入群①（５月・９月・１月生まれ）
2020年2月15日 17時52分59秒,2020年2月15日,受ける,調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 18時05分06秒,2020年2月15日,絶対に受ける,絶対に調べる,介入群①（５月・９月・１月生まれ）
2020年2月15日 18時09分16秒,2020年2月15日,受ける,調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 18時29分00秒,2020年2月15日,すでに受けた,すでに調べた,介入群②（６月・１０月・２月生まれ）
2020年2月15日 18時30分21秒,2020年2月15日,どちらとも言えない,調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 18時31分03秒,2020年2月15日,どちらとも言えない,調べない,介入群②（６月・１０月・２月生まれ）
2020年2月15日 18時31分06秒,2020年2月15日,絶対に受ける,絶対に調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 18時45分28秒,2020年2月15日,受ける,調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 18時46分24秒,2020年2月15日,絶対に受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月15日 18時52分06秒,2020年2月15日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 18時52分18秒,2020年2月15日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 18時54分23秒,2020年2月15日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 18時54分26秒,2020年2月15日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
